,0
0,125125
1,125133
2,125142
3,125150
4,125158
5,125167
6,125175
7,125183
8,125192
9,125200
10,125208
11,125217
12,125225
13,125233
14,125242
15,125250
16,125258
17,125267
18,125275
19,125283
20,125292
21,125300
22,125309
23,125317
24,125325
25,125334
26,125342
27,125350
28,125359
29,125367
30,125375
31,125384
32,125392
33,125400
34,125409
35,125417
36,125425
37,125434
38,125442
39,125450
40,125459
41,125467
42,125475
43,125484
44,125492
45,125500
46,125509
47,125517
48,125525
49,125534
50,125542
51,125550
52,125559
53,125567
54,125575
55,125584
56,125592
57,125600
58,125609
59,125617
60,125626
61,125634
62,125642
63,125651
64,125659
65,125667
66,125676
67,125684
68,125692
69,125701
70,125709
71,125717
72,125726
73,125734
74,125742
75,125751
76,125759
77,125767
78,125776
79,125784
80,125792
81,125801
82,125809
83,125817
84,125826
85,125834
86,125842
87,125851
88,125859
89,125867
90,125876
91,125884
92,125892
93,125901
94,125909
95,125917
96,125926
97,125934
98,125942
99,125951
100,125959
101,125968
102,125976
103,125984
104,125993
105,126001
106,126009
107,126018
108,126026
109,126034
110,126043
111,126051
112,126059
113,126068
114,126076
115,126084
116,126093
117,126101
118,126109
119,126118
120,126126
121,126134
122,126143
123,126151
124,126159
125,126168
126,126176
127,126184
128,126193
129,126201
130,126209
131,126218
132,126226
133,126234
134,126243
135,126251
136,126259
137,126268
138,126276
139,126284
140,126293
141,126301
142,126310
143,126318
144,126326
145,126335
146,126343
147,126351
148,126360
149,126368
150,126376
151,126385
152,126393
153,126401
154,126410
155,126418
156,126426
157,126435
158,126443
159,126451
160,126460
161,126468
162,126476
163,126485
164,126493
165,126501
166,126510
167,126518
168,126526
169,126535
170,126543
171,126551
172,126560
173,126568
174,126576
175,126585
176,126593
177,126601
178,126610
179,126618
180,126627
181,126635
182,126643
183,126652
184,126660
185,126668
186,126677
187,126685
188,126693
189,126702
190,126710
191,126718
192,126727
193,126735
194,126743
195,126752
196,126760
197,126768
198,126777
199,126785
200,126793
201,126802
202,126810
203,126818
204,126827
205,126835
206,126843
207,126852
208,126860
209,126868
210,126877
211,126885
212,126893
213,126902
214,126910
215,126918
216,126927
217,126935
218,126943
219,126952
220,126960
221,126969
222,126977
223,126985
224,126994
225,127002
226,127010
227,127019
228,127027
229,127035
230,127044
231,127052
232,127060
233,127069
234,127077
235,127085
236,127094
237,127102
238,127110
239,127119
240,127127
241,127135
242,127144
243,127152
244,127160
245,127169
246,127177
247,127185
248,127194
249,127202
250,127210
251,127219
252,127227
253,127235
254,127244
255,127252
256,127260
257,127269
258,127277
259,127285
260,127294
261,127302
262,127311
263,127319
264,127327
265,127336
266,127344
267,127352
268,127361
269,127369
270,127377
271,127386
272,127394
273,127402
274,127411
275,127419
276,127427
277,127436
278,127444
279,127452
280,127461
281,127469
282,127477
283,127486
284,127494
285,127502
286,127511
287,127519
288,127527
289,127536
290,127544
291,127552
292,127561
293,127569
294,127577
295,127586
296,127594
297,127602
298,127611
299,127619
300,127628
301,127636
302,127644
303,127653
304,127661
305,127669
306,127678
307,127686
308,127694
309,127703
310,127711
311,127719
312,127728
313,127736
314,127744
315,127753
316,127761
317,127769
318,127778
319,127786
320,127794
321,127803
322,127811
323,127819
324,127828
325,127836
326,127844
327,127853
328,127861
329,127869
330,127878
331,127886
332,127894
333,127903
334,127911
335,127919
336,127928
337,127936
338,127944
339,127953
340,127961
341,127970
342,127978
343,127986
344,127995
345,128002
346,128011
347,128020
348,128027
349,128036
350,128044
351,128053
352,128061
353,128070
354,128078
355,128086
356,128095
357,128103
358,128110
359,128120
360,128127
361,128136
362,128145
363,128152
364,128161
365,128169
366,128178
367,128186
368,128195
369,128203
370,128211
371,128220
372,128228
373,128235
374,128245
375,128252
376,128261
377,128270
378,128277
379,128286
380,128294
381,128303
382,128312
383,128320
384,128328
385,128336
386,128345
387,128353
388,128362
389,128370
390,128377
391,128387
392,128395
393,128402
394,128412
395,128419
396,128428
397,128437
398,128445
399,128453
400,128461
401,128470
402,128478
403,128487
404,128495
405,128502
406,128512
407,128520
408,128527
409,128537
410,128544
411,128553
412,128562
413,128570
414,128578
415,128586
416,128595
417,128603
418,128612
419,128620
420,128627
421,128637
422,128645
423,128654
424,128662
425,128669
426,128679
427,128687
428,128695
429,128704
430,128711
431,128720
432,128729
433,128737
434,128745
435,128753
436,128762
437,128770
438,128779
439,128787
440,128794
441,128804
442,128812
443,128820
444,128829
445,128836
446,128845
447,128854
448,128862
449,128870
450,128878
451,128887
452,128895
453,128904
454,128912
455,128919
456,128929
457,128937
458,128945
459,128954
460,128961
461,128971
462,128979
463,128987
464,128996
465,129003
466,129012
467,129020
468,129029
469,129037
470,129045
471,129054
472,129062
473,129071
474,129079
475,129086
476,129096
477,129104
478,129112
479,129121
480,129128
481,129137
482,129145
483,129154
484,129162
